areaType,areaName,areaCode,date,newWeeklyNsoDeathsByRegDate,cumWeeklyNsoDeathsByRegDate
region,London,E12000007,2023-12-01,17,26293
region,London,E12000007,2023-11-24,14,26276
region,London,E12000007,2023-11-17,22,26262
region,London,E12000007,2023-11-10,24,26240
region,London,E12000007,2023-11-03,22,26216
region,London,E12000007,2023-10-27,29,26194
region,London,E12000007,2023-10-20,16,26165
region,London,E12000007,2023-10-13,35,26149
region,London,E12000007,2023-10-06,20,26114
region,London,E12000007,2023-09-29,21,26094
region,London,E12000007,2023-09-22,27,26073
region,London,E12000007,2023-09-15,22,26046
region,London,E12000007,2023-09-08,12,26024
region,London,E12000007,2023-09-01,12,26012
region,London,E12000007,2023-08-25,14,26000
region,London,E12000007,2023-08-18,6,25986
region,London,E12000007,2023-08-11,14,25980
region,London,E12000007,2023-08-04,4,25966
region,London,E12000007,2023-07-28,5,25962
region,London,E12000007,2023-07-21,4,25957
region,London,E12000007,2023-07-14,9,25953
region,London,E12000007,2023-07-07,11,25944
region,London,E12000007,2023-06-30,14,25933
region,London,E12000007,2023-06-23,12,25919
region,London,E12000007,2023-06-16,17,25907
region,London,E12000007,2023-06-09,20,25890
region,London,E12000007,2023-06-02,17,25870
region,London,E12000007,2023-05-26,28,25853
region,London,E12000007,2023-05-19,24,25825
region,London,E12000007,2023-05-12,24,25801
region,London,E12000007,2023-05-05,31,25777
region,London,E12000007,2023-04-28,41,25746
region,London,E12000007,2023-04-21,41,25705
region,London,E12000007,2023-04-14,35,25664
region,London,E12000007,2023-04-07,42,25629
region,London,E12000007,2023-03-31,52,25587
region,London,E12000007,2023-03-24,61,25535
region,London,E12000007,2023-03-17,42,25474
region,London,E12000007,2023-03-10,53,25432
region,London,E12000007,2023-03-03,54,25379
region,London,E12000007,2023-02-24,36,25325
region,London,E12000007,2023-02-17,34,25289
region,London,E12000007,2023-02-10,36,25255
region,London,E12000007,2023-02-03,42,25219
region,London,E12000007,2023-01-27,58,25177
region,London,E12000007,2023-01-20,66,25119
region,London,E12000007,2023-01-13,98,25053
region,London,E12000007,2023-01-06,84,24955
region,London,E12000007,2022-12-30,35,24871
region,London,E12000007,2022-12-23,53,24836
region,London,E12000007,2022-12-16,53,24783
region,London,E12000007,2022-12-09,47,24730
region,London,E12000007,2022-12-02,43,24683
region,London,E12000007,2022-11-25,45,24640
region,London,E12000007,2022-11-18,44,24595
region,London,E12000007,2022-11-11,56,24551
region,London,E12000007,2022-11-04,65,24495
region,London,E12000007,2022-10-28,65,24430
region,London,E12000007,2022-10-21,70,24365
region,London,E12000007,2022-10-14,31,24295
region,London,E12000007,2022-10-07,35,24264
region,London,E12000007,2022-09-30,25,24229
region,London,E12000007,2022-09-23,24,24204
region,London,E12000007,2022-09-16,30,24180
region,London,E12000007,2022-09-09,34,24150
region,London,E12000007,2022-09-02,34,24116
region,London,E12000007,2022-08-26,54,24082
region,London,E12000007,2022-08-19,66,24028
region,London,E12000007,2022-08-12,65,23962
region,London,E12000007,2022-08-05,79,23897
region,London,E12000007,2022-07-29,64,23818
region,London,E12000007,2022-07-22,82,23754
region,London,E12000007,2022-07-15,66,23672
region,London,E12000007,2022-07-08,48,23606
region,London,E12000007,2022-07-01,50,23558
region,London,E12000007,2022-06-24,38,23508
region,London,E12000007,2022-06-17,34,23470
region,London,E12000007,2022-06-10,29,23436
region,London,E12000007,2022-06-03,18,23407
region,London,E12000007,2022-05-27,30,23389
region,London,E12000007,2022-05-20,52,23359
region,London,E12000007,2022-05-13,48,23307
