areaType,areaName,areaCode,date,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateChange,newCasesBySpecimenDateChangePercentage
region,London,E12000007,2023-12-09,1032,11.5,245,31.100000000000001421
region,London,E12000007,2023-12-08,987,11,221,28.899999999999998579
region,London,E12000007,2023-12-07,931,10.300000000000000711,166,21.699999999999999289
region,London,E12000007,2023-12-06,943,10.5,236,33.399999999999998579
region,London,E12000007,2023-12-05,901,10,188,26.399999999999998579
region,London,E12000007,2023-12-04,863,9.5999999999999996447,179,26.199999999999999289
region,London,E12000007,2023-12-03,819,9.0999999999999996447,143,21.199999999999999289
region,London,E12000007,2023-12-02,787,8.6999999999999992895,97,14.099999999999999645
region,London,E12000007,2023-12-01,766,8.5,57,8
region,London,E12000007,2023-11-30,765,8.5,69,9.9000000000000003553
region,London,E12000007,2023-11-29,707,7.9000000000000003553,-14,-1.8999999999999999112
region,London,E12000007,2023-11-28,713,7.9000000000000003553,16,2.2999999999999998224
region,London,E12000007,2023-11-27,684,7.5999999999999996447,-9,-1.3000000000000000444
region,London,E12000007,2023-11-26,676,7.5,-28,-4
region,London,E12000007,2023-11-25,690,7.7000000000000001776,-4,-0.5999999999999999778
region,London,E12000007,2023-11-24,709,7.9000000000000003553,52,7.9000000000000003553
region,London,E12000007,2023-11-23,696,7.7000000000000001776,97,16.199999999999999289
region,London,E12000007,2023-11-22,721,8,166,29.899999999999998579
region,London,E12000007,2023-11-21,697,7.7000000000000001776,137,24.5
region,London,E12000007,2023-11-20,693,7.7000000000000001776,125,22
region,London,E12000007,2023-11-19,704,7.7999999999999998224,165,30.600000000000001421
region,London,E12000007,2023-11-18,694,7.7000000000000001776,169,32.200000000000002842
region,London,E12000007,2023-11-17,657,7.2999999999999998224,111,20.300000000000000711
region,London,E12000007,2023-11-16,599,6.7000000000000001776,-33,-5.2000000000000001776
region,London,E12000007,2023-11-15,555,6.2000000000000001776,-124,-18.300000000000000711
region,London,E12000007,2023-11-14,560,6.2000000000000001776,-114,-16.899999999999998579
region,London,E12000007,2023-11-13,568,6.2999999999999998224,-113,-16.600000000000001421
region,London,E12000007,2023-11-12,539,6,-161,-23
region,London,E12000007,2023-11-11,525,5.7999999999999998224,-185,-26.100000000000001421
region,London,E12000007,2023-11-10,546,6.0999999999999996447,-183,-25.100000000000001421
region,London,E12000007,2023-11-09,632,7,-81,-11.400000000000000355
region,London,E12000007,2023-11-08,679,7.5,-36,-5
region,London,E12000007,2023-11-07,674,7.5,-64,-8.6999999999999992895
region,London,E12000007,2023-11-06,681,7.5999999999999996447,-67,-9
region,London,E12000007,2023-11-05,700,7.7999999999999998224,-40,-5.4000000000000003553
region,London,E12000007,2023-11-04,710,7.9000000000000003553,-50,-6.5999999999999996447
region,London,E12000007,2023-11-03,729,8.0999999999999996447,-42,-5.4000000000000003553
region,London,E12000007,2023-11-02,713,7.9000000000000003553,-65,-8.4000000000000003553
region,London,E12000007,2023-11-01,715,7.9000000000000003553,-79,-9.9000000000000003553
region,London,E12000007,2023-10-31,738,8.1999999999999992895,-72,-8.9000000000000003553
region,London,E12000007,2023-10-30,748,8.3000000000000007105,-86,-10.300000000000000711
region,London,E12000007,2023-10-29,740,8.1999999999999992895,-122,-14.199999999999999289
region,London,E12000007,2023-10-28,760,8.4000000000000003553,-131,-14.699999999999999289
region,London,E12000007,2023-10-27,771,8.5999999999999996447,-147,-16
region,London,E12000007,2023-10-26,778,8.5999999999999996447,-178,-18.600000000000001421
region,London,E12000007,2023-10-25,794,8.8000000000000007105,-173,-17.899999999999998579
region,London,E12000007,2023-10-24,810,9,-242,-23
region,London,E12000007,2023-10-23,834,9.3000000000000007105,-233,-21.800000000000000711
region,London,E12000007,2023-10-22,862,9.5999999999999996447,-302,-25.899999999999998579
region,London,E12000007,2023-10-21,891,9.9000000000000003553,-317,-26.199999999999999289
region,London,E12000007,2023-10-20,918,10.199999999999999289,-313,-25.399999999999998579
region,London,E12000007,2023-10-19,956,10.599999999999999645,-309,-24.399999999999998579
region,London,E12000007,2023-10-18,967,10.699999999999999289,-343,-26.199999999999999289
region,London,E12000007,2023-10-17,1052,11.699999999999999289,-264,-20.100000000000001421
region,London,E12000007,2023-10-16,1067,11.900000000000000355,-323,-23.199999999999999289
region,London,E12000007,2023-10-15,1164,12.900000000000000355,-230,-16.5
region,London,E12000007,2023-10-14,1208,13.400000000000000355,-222,-15.5
region,London,E12000007,2023-10-13,1231,13.699999999999999289,-204,-14.199999999999999289
region,London,E12000007,2023-10-12,1265,14.099999999999999645,-176,-12.199999999999999289
region,London,E12000007,2023-10-11,1310,14.599999999999999645,-174,-11.699999999999999289
region,London,E12000007,2023-10-10,1316,14.599999999999999645,-192,-12.699999999999999289
region,London,E12000007,2023-10-09,1390,15.400000000000000355,-149,-9.6999999999999992895
region,London,E12000007,2023-10-08,1394,15.5,-180,-11.400000000000000355
region,London,E12000007,2023-10-07,1430,15.900000000000000355,-132,-8.5
region,London,E12000007,2023-10-06,1435,15.900000000000000355,-112,-7.2000000000000001776
region,London,E12000007,2023-10-05,1441,16,-86,-5.5999999999999996447
region,London,E12000007,2023-10-04,1484,16.5,-5,-0.2999999999999999889
region,London,E12000007,2023-10-03,1508,16.800000000000000711,70,4.9000000000000003553
region,London,E12000007,2023-10-02,1539,17.100000000000001421,173,12.699999999999999289
region,London,E12000007,2023-10-01,1574,17.5,273,21
region,London,E12000007,2023-09-30,1562,17.399999999999998579,267,20.600000000000001421
region,London,E12000007,2023-09-29,1547,17.199999999999999289,231,17.600000000000001421
region,London,E12000007,2023-09-28,1527,17,230,17.699999999999999289
region,London,E12000007,2023-09-27,1489,16.5,214,16.800000000000000711
region,London,E12000007,2023-09-26,1438,16,163,12.800000000000000711
region,London,E12000007,2023-09-25,1366,15.199999999999999289,95,7.5
region,London,E12000007,2023-09-24,1301,14.5,20,1.6000000000000000888
region,London,E12000007,2023-09-23,1295,14.400000000000000355,44,3.5
region,London,E12000007,2023-09-22,1316,14.599999999999999645,72,5.7999999999999998224
region,London,E12000007,2023-09-21,1297,14.400000000000000355,34,2.7000000000000001776
region,London,E12000007,2023-09-20,1275,14.199999999999999289,-8,-0.5999999999999999778
region,London,E12000007,2023-09-19,1275,14.199999999999999289,-24,-1.8000000000000000444
region,London,E12000007,2023-09-18,1271,14.099999999999999645,-75,-5.5999999999999996447
region,London,E12000007,2023-09-17,1281,14.199999999999999289,-100,-7.2000000000000001776
region,London,E12000007,2023-09-16,1251,13.900000000000000355,-165,-11.699999999999999289
region,London,E12000007,2023-09-15,1244,13.800000000000000711,-214,-14.699999999999999289
region,London,E12000007,2023-09-14,1263,14,-199,-13.599999999999999645
region,London,E12000007,2023-09-13,1283,14.300000000000000711,-182,-12.400000000000000355
region,London,E12000007,2023-09-12,1299,14.400000000000000355,-142,-9.9000000000000003553
region,London,E12000007,2023-09-11,1346,15,-32,-2.2999999999999998224
region,London,E12000007,2023-09-10,1381,15.300000000000000711,115,9.0999999999999996447
region,London,E12000007,2023-09-09,1416,15.699999999999999289,242,20.600000000000001421
region,London,E12000007,2023-09-08,1458,16.199999999999999289,364,33.299999999999997158
region,London,E12000007,2023-09-07,1462,16.199999999999999289,409,38.799999999999997158
region,London,E12000007,2023-09-06,1465,16.300000000000000711,448,44.100000000000001421
region,London,E12000007,2023-09-05,1441,16,490,51.5
region,London,E12000007,2023-09-04,1378,15.300000000000000711,465,50.899999999999998579
region,London,E12000007,2023-09-03,1266,14.099999999999999645,360,39.700000000000002842
region,London,E12000007,2023-09-02,1174,13,254,27.600000000000001421
region,London,E12000007,2023-09-01,1094,12.199999999999999289,195,21.699999999999999289
region,London,E12000007,2023-08-31,1053,11.699999999999999289,166,18.699999999999999289
region,London,E12000007,2023-08-30,1017,11.300000000000000711,141,16.100000000000001421
region,London,E12000007,2023-08-29,951,10.599999999999999645,74,8.4000000000000003553
region,London,E12000007,2023-08-28,913,10.099999999999999645,45,5.2000000000000001776
region,London,E12000007,2023-08-27,906,10.099999999999999645,19,2.1000000000000000888
region,London,E12000007,2023-08-26,920,10.199999999999999289,33,3.7000000000000001776
region,London,E12000007,2023-08-25,899,10,-1,-0.10000000000000000555
region,London,E12000007,2023-08-24,887,9.9000000000000003553,-8,-0.9000000000000000222
region,London,E12000007,2023-08-23,876,9.6999999999999992895,11,1.3000000000000000444
region,London,E12000007,2023-08-22,877,9.6999999999999992895,29,3.3999999999999999112
region,London,E12000007,2023-08-21,868,9.5999999999999996447,42,5.0999999999999996447
region,London,E12000007,2023-08-20,887,9.9000000000000003553,91,11.400000000000000355
region,London,E12000007,2023-08-19,887,9.9000000000000003553,105,13.400000000000000355
region,London,E12000007,2023-08-18,900,10,158,21.300000000000000711
region,London,E12000007,2023-08-17,895,9.9000000000000003553,169,23.300000000000000711
region,London,E12000007,2023-08-16,865,9.5999999999999996447,176,25.5
region,London,E12000007,2023-08-15,848,9.4000000000000003553,189,28.699999999999999289
region,London,E12000007,2023-08-14,826,9.1999999999999992895,188,29.5
region,London,E12000007,2023-08-13,796,8.8000000000000007105,188,30.899999999999998579
region,London,E12000007,2023-08-12,782,8.6999999999999992895,197,33.700000000000002842
region,London,E12000007,2023-08-11,742,8.1999999999999992895,150,25.300000000000000711
region,London,E12000007,2023-08-10,726,8.0999999999999996447,173,31.300000000000000711
region,London,E12000007,2023-08-09,689,7.7000000000000001776,136,24.600000000000001421
region,London,E12000007,2023-08-08,659,7.2999999999999998224,137,26.199999999999999289
region,London,E12000007,2023-08-07,638,7.0999999999999996447,130,25.600000000000001421
region,London,E12000007,2023-08-06,608,6.7999999999999998224,125,25.899999999999998579
region,London,E12000007,2023-08-05,585,6.5,136,30.300000000000000711
region,London,E12000007,2023-08-04,592,6.5999999999999996447,170,40.299999999999997158
region,London,E12000007,2023-08-03,553,6.0999999999999996447,129,30.399999999999998579
region,London,E12000007,2023-08-02,553,6.0999999999999996447,153,38.299999999999997158
region,London,E12000007,2023-08-01,522,5.7999999999999998224,101,24
region,London,E12000007,2023-07-31,508,5.5999999999999996447,95,23
region,London,E12000007,2023-07-30,483,5.4000000000000003553,69,16.699999999999999289
region,London,E12000007,2023-07-29,449,5,28,6.7000000000000001776
region,London,E12000007,2023-07-28,422,4.7000000000000001776,-2,-0.5
region,London,E12000007,2023-07-27,424,4.7000000000000001776,12,2.8999999999999999112
region,London,E12000007,2023-07-26,400,4.4000000000000003553,-4,-1
region,London,E12000007,2023-07-25,421,4.7000000000000001776,33,8.5
region,London,E12000007,2023-07-24,413,4.5999999999999996447,28,7.2999999999999998224
region,London,E12000007,2023-07-23,414,4.5999999999999996447,40,10.699999999999999289
region,London,E12000007,2023-07-22,421,4.7000000000000001776,58,16
region,London,E12000007,2023-07-21,424,4.7000000000000001776,76,21.800000000000000711
region,London,E12000007,2023-07-20,412,4.5999999999999996447,68,19.800000000000000711
region,London,E12000007,2023-07-19,404,4.5,69,20.600000000000001421
region,London,E12000007,2023-07-18,388,4.2999999999999998224,67,20.899999999999998579
region,London,E12000007,2023-07-17,385,4.2999999999999998224,92,31.399999999999998579
region,London,E12000007,2023-07-16,374,4.2000000000000001776,91,32.200000000000002842
region,London,E12000007,2023-07-15,363,4,87,31.5
region,London,E12000007,2023-07-14,348,3.8999999999999999112,80,29.899999999999998579
region,London,E12000007,2023-07-13,344,3.7999999999999998224,94,37.600000000000001421
region,London,E12000007,2023-07-12,335,3.7000000000000001776,85,34
region,London,E12000007,2023-07-11,321,3.6000000000000000888,68,26.899999999999998579
region,London,E12000007,2023-07-10,293,3.2999999999999998224,38,14.900000000000000355
region,London,E12000007,2023-07-09,283,3.1000000000000000888,35,14.099999999999999645
region,London,E12000007,2023-07-08,276,3.1000000000000000888,20,7.7999999999999998224
region,London,E12000007,2023-07-07,268,3,4,1.5
region,London,E12000007,2023-07-06,250,2.7999999999999998224,-33,-11.699999999999999289
region,London,E12000007,2023-07-05,250,2.7999999999999998224,-46,-15.5
region,London,E12000007,2023-07-04,253,2.7999999999999998224,-53,-17.300000000000000711
region,London,E12000007,2023-07-03,255,2.7999999999999998224,-64,-20.100000000000001421
region,London,E12000007,2023-07-02,248,2.7999999999999998224,-97,-28.100000000000001421
region,London,E12000007,2023-07-01,256,2.7999999999999998224,-81,-24
region,London,E12000007,2023-06-30,264,2.8999999999999999112,-94,-26.300000000000000711
region,London,E12000007,2023-06-29,283,3.1000000000000000888,-75,-20.899999999999998579
region,London,E12000007,2023-06-28,296,3.2999999999999998224,-58,-16.399999999999998579
region,London,E12000007,2023-06-27,306,3.3999999999999999112,-57,-15.699999999999999289
region,London,E12000007,2023-06-26,319,3.5,-53,-14.199999999999999289
region,London,E12000007,2023-06-25,345,3.7999999999999998224,-35,-9.1999999999999992895
region,London,E12000007,2023-06-24,337,3.7000000000000001776,-73,-17.800000000000000711
region,London,E12000007,2023-06-23,358,4,-47,-11.599999999999999645
region,London,E12000007,2023-06-22,358,4,-62,-14.800000000000000711
region,London,E12000007,2023-06-21,354,3.8999999999999999112,-95,-21.199999999999999289
region,London,E12000007,2023-06-20,363,4,-120,-24.800000000000000711
region,London,E12000007,2023-06-19,372,4.0999999999999996447,-142,-27.600000000000001421
region,London,E12000007,2023-06-18,380,4.2000000000000001776,-176,-31.699999999999999289
region,London,E12000007,2023-06-17,410,4.5999999999999996447,-144,-26
region,London,E12000007,2023-06-16,405,4.5,-162,-28.600000000000001421
region,London,E12000007,2023-06-15,420,4.7000000000000001776,-157,-27.199999999999999289
