areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nhsRegion,London,E40000003,2023-12-08,67,166918
nhsRegion,London,E40000003,2023-12-07,74,166851
nhsRegion,London,E40000003,2023-12-06,95,166777
nhsRegion,London,E40000003,2023-12-05,71,166682
nhsRegion,London,E40000003,2023-12-04,80,166611
nhsRegion,London,E40000003,2023-12-03,66,166531
nhsRegion,London,E40000003,2023-12-02,40,166465
nhsRegion,London,E40000003,2023-12-01,49,166425
nhsRegion,London,E40000003,2023-11-30,76,166376
nhsRegion,London,E40000003,2023-11-29,50,166300
nhsRegion,London,E40000003,2023-11-28,61,166250
nhsRegion,London,E40000003,2023-11-27,70,166189
nhsRegion,London,E40000003,2023-11-26,41,166119
nhsRegion,London,E40000003,2023-11-25,40,166078
nhsRegion,London,E40000003,2023-11-24,45,166038
nhsRegion,London,E40000003,2023-11-23,54,165993
nhsRegion,London,E40000003,2023-11-22,55,165939
nhsRegion,London,E40000003,2023-11-21,60,165884
nhsRegion,London,E40000003,2023-11-20,53,165824
nhsRegion,London,E40000003,2023-11-19,45,165771
nhsRegion,London,E40000003,2023-11-18,48,165726
nhsRegion,London,E40000003,2023-11-17,56,165678
nhsRegion,London,E40000003,2023-11-16,52,165622
nhsRegion,London,E40000003,2023-11-15,54,165570
nhsRegion,London,E40000003,2023-11-14,46,165516
nhsRegion,London,E40000003,2023-11-13,47,165470
nhsRegion,London,E40000003,2023-11-12,54,165423
nhsRegion,London,E40000003,2023-11-11,43,165369
nhsRegion,London,E40000003,2023-11-10,40,165326
nhsRegion,London,E40000003,2023-11-09,51,165286
nhsRegion,London,E40000003,2023-11-08,45,165235
nhsRegion,London,E40000003,2023-11-07,65,165190
nhsRegion,London,E40000003,2023-11-06,48,165125
nhsRegion,London,E40000003,2023-11-05,57,165077
nhsRegion,London,E40000003,2023-11-04,55,165020
nhsRegion,London,E40000003,2023-11-03,46,164965
nhsRegion,London,E40000003,2023-11-02,55,164919
nhsRegion,London,E40000003,2023-11-01,46,164864
nhsRegion,London,E40000003,2023-10-31,54,164818
nhsRegion,London,E40000003,2023-10-30,75,164764
nhsRegion,London,E40000003,2023-10-29,49,164689
nhsRegion,London,E40000003,2023-10-28,39,164640
nhsRegion,London,E40000003,2023-10-27,66,164601
nhsRegion,London,E40000003,2023-10-26,47,164535
nhsRegion,London,E40000003,2023-10-25,51,164488
nhsRegion,London,E40000003,2023-10-24,51,164437
nhsRegion,London,E40000003,2023-10-23,52,164386
nhsRegion,London,E40000003,2023-10-22,57,164334
nhsRegion,London,E40000003,2023-10-21,53,164277
nhsRegion,London,E40000003,2023-10-20,57,164224
nhsRegion,London,E40000003,2023-10-19,73,164167
nhsRegion,London,E40000003,2023-10-18,70,164094
nhsRegion,London,E40000003,2023-10-17,68,164024
nhsRegion,London,E40000003,2023-10-16,51,163956
nhsRegion,London,E40000003,2023-10-15,49,163905
nhsRegion,London,E40000003,2023-10-14,49,163856
nhsRegion,London,E40000003,2023-10-13,55,163807
nhsRegion,London,E40000003,2023-10-12,78,163752
nhsRegion,London,E40000003,2023-10-11,85,163674
nhsRegion,London,E40000003,2023-10-10,77,163589
nhsRegion,London,E40000003,2023-10-09,65,163512
nhsRegion,London,E40000003,2023-10-08,64,163447
nhsRegion,London,E40000003,2023-10-07,54,163383
nhsRegion,London,E40000003,2023-10-06,51,163329
nhsRegion,London,E40000003,2023-10-05,61,163278
nhsRegion,London,E40000003,2023-10-04,60,163217
nhsRegion,London,E40000003,2023-10-03,72,163157
nhsRegion,London,E40000003,2023-10-02,77,163085
nhsRegion,London,E40000003,2023-10-01,59,163008
nhsRegion,London,E40000003,2023-09-30,46,162949
nhsRegion,London,E40000003,2023-09-29,38,162903
nhsRegion,London,E40000003,2023-09-28,54,162865
nhsRegion,London,E40000003,2023-09-27,52,162811
nhsRegion,London,E40000003,2023-09-26,73,162759
nhsRegion,London,E40000003,2023-09-25,72,162686
nhsRegion,London,E40000003,2023-09-24,61,162614
nhsRegion,London,E40000003,2023-09-23,43,162553
nhsRegion,London,E40000003,2023-09-22,39,162510
nhsRegion,London,E40000003,2023-09-21,68,162471
nhsRegion,London,E40000003,2023-09-20,65,162403
nhsRegion,London,E40000003,2023-09-19,87,162338
nhsRegion,London,E40000003,2023-09-18,61,162251
nhsRegion,London,E40000003,2023-09-17,53,162190
nhsRegion,London,E40000003,2023-09-16,53,162137
nhsRegion,London,E40000003,2023-09-15,49,162084
nhsRegion,London,E40000003,2023-09-14,50,162035
nhsRegion,London,E40000003,2023-09-13,49,161985
nhsRegion,London,E40000003,2023-09-12,86,161936
nhsRegion,London,E40000003,2023-09-11,54,161850
nhsRegion,London,E40000003,2023-09-10,64,161796
nhsRegion,London,E40000003,2023-09-09,60,161732
nhsRegion,London,E40000003,2023-09-08,68,161672
nhsRegion,London,E40000003,2023-09-07,61,161604
nhsRegion,London,E40000003,2023-09-06,63,161543
nhsRegion,London,E40000003,2023-09-05,70,161480
nhsRegion,London,E40000003,2023-09-04,70,161410
nhsRegion,London,E40000003,2023-09-03,54,161340
nhsRegion,London,E40000003,2023-09-02,47,161286
nhsRegion,London,E40000003,2023-09-01,49,161239
nhsRegion,London,E40000003,2023-08-31,53,161190
nhsRegion,London,E40000003,2023-08-30,59,161137
nhsRegion,London,E40000003,2023-08-29,44,161078
nhsRegion,London,E40000003,2023-08-28,41,161034
nhsRegion,London,E40000003,2023-08-27,37,160993
nhsRegion,London,E40000003,2023-08-26,32,160956
nhsRegion,London,E40000003,2023-08-25,45,160924
nhsRegion,London,E40000003,2023-08-24,53,160879
nhsRegion,London,E40000003,2023-08-23,47,160826
nhsRegion,London,E40000003,2023-08-22,42,160779
nhsRegion,London,E40000003,2023-08-21,47,160737
nhsRegion,London,E40000003,2023-08-20,39,160690
nhsRegion,London,E40000003,2023-08-19,28,160651
nhsRegion,London,E40000003,2023-08-18,41,160623
nhsRegion,London,E40000003,2023-08-17,47,160582
nhsRegion,London,E40000003,2023-08-16,48,160535
nhsRegion,London,E40000003,2023-08-15,39,160487
nhsRegion,London,E40000003,2023-08-14,59,160448
nhsRegion,London,E40000003,2023-08-13,53,160389
nhsRegion,London,E40000003,2023-08-12,32,160336
nhsRegion,London,E40000003,2023-08-11,39,160304
nhsRegion,London,E40000003,2023-08-10,37,160265
nhsRegion,London,E40000003,2023-08-09,51,160228
nhsRegion,London,E40000003,2023-08-08,33,160177
nhsRegion,London,E40000003,2023-08-07,46,160144
nhsRegion,London,E40000003,2023-08-06,26,160098
nhsRegion,London,E40000003,2023-08-05,11,160072
nhsRegion,London,E40000003,2023-08-04,35,160061
nhsRegion,London,E40000003,2023-08-03,32,160026
nhsRegion,London,E40000003,2023-08-02,48,159994
nhsRegion,London,E40000003,2023-08-01,27,159946
nhsRegion,London,E40000003,2023-07-31,33,159919
nhsRegion,London,E40000003,2023-07-30,24,159886
nhsRegion,London,E40000003,2023-07-29,33,159862
nhsRegion,London,E40000003,2023-07-28,22,159829
nhsRegion,London,E40000003,2023-07-27,28,159807
nhsRegion,London,E40000003,2023-07-26,30,159779
nhsRegion,London,E40000003,2023-07-25,20,159749
nhsRegion,London,E40000003,2023-07-24,27,159729
nhsRegion,London,E40000003,2023-07-23,23,159702
nhsRegion,London,E40000003,2023-07-22,15,159679
nhsRegion,London,E40000003,2023-07-21,13,159664
nhsRegion,London,E40000003,2023-07-20,36,159651
nhsRegion,London,E40000003,2023-07-19,24,159615
nhsRegion,London,E40000003,2023-07-18,24,159591
nhsRegion,London,E40000003,2023-07-17,23,159567
nhsRegion,London,E40000003,2023-07-16,29,159544
nhsRegion,London,E40000003,2023-07-15,25,159515
nhsRegion,London,E40000003,2023-07-14,16,159490
nhsRegion,London,E40000003,2023-07-13,27,159474
nhsRegion,London,E40000003,2023-07-12,20,159447
nhsRegion,London,E40000003,2023-07-11,31,159427
nhsRegion,London,E40000003,2023-07-10,31,159396
nhsRegion,London,E40000003,2023-07-09,18,159365
nhsRegion,London,E40000003,2023-07-08,16,159347
nhsRegion,London,E40000003,2023-07-07,18,159331
nhsRegion,London,E40000003,2023-07-06,17,159313
nhsRegion,London,E40000003,2023-07-05,13,159296
nhsRegion,London,E40000003,2023-07-04,24,159283
nhsRegion,London,E40000003,2023-07-03,19,159259
nhsRegion,London,E40000003,2023-07-02,14,159240
nhsRegion,London,E40000003,2023-07-01,12,159226
nhsRegion,London,E40000003,2023-06-30,15,159214
nhsRegion,London,E40000003,2023-06-29,19,159199
nhsRegion,London,E40000003,2023-06-28,27,159180
nhsRegion,London,E40000003,2023-06-27,17,159153
nhsRegion,London,E40000003,2023-06-26,23,159136
nhsRegion,London,E40000003,2023-06-25,25,159113
nhsRegion,London,E40000003,2023-06-24,15,159088
nhsRegion,London,E40000003,2023-06-23,12,159073
nhsRegion,London,E40000003,2023-06-22,21,159061
nhsRegion,London,E40000003,2023-06-21,25,159040
nhsRegion,London,E40000003,2023-06-20,30,159015
nhsRegion,London,E40000003,2023-06-19,36,158985
nhsRegion,London,E40000003,2023-06-18,22,158949
nhsRegion,London,E40000003,2023-06-17,18,158927
nhsRegion,London,E40000003,2023-06-16,22,158909
nhsRegion,London,E40000003,2023-06-15,27,158887
nhsRegion,London,E40000003,2023-06-14,27,158860
nhsRegion,London,E40000003,2023-06-13,38,158833
nhsRegion,London,E40000003,2023-06-12,20,158795
nhsRegion,London,E40000003,2023-06-11,28,158775
nhsRegion,London,E40000003,2023-06-10,31,158747
nhsRegion,London,E40000003,2023-06-09,21,158716
nhsRegion,London,E40000003,2023-06-08,36,158695
nhsRegion,London,E40000003,2023-06-07,49,158659
nhsRegion,London,E40000003,2023-06-06,68,158610
nhsRegion,London,E40000003,2023-06-05,48,158542
nhsRegion,London,E40000003,2023-06-04,36,158494
nhsRegion,London,E40000003,2023-06-03,30,158458
nhsRegion,London,E40000003,2023-06-02,20,158428
nhsRegion,London,E40000003,2023-06-01,42,158408
nhsRegion,London,E40000003,2023-05-31,44,158366
nhsRegion,London,E40000003,2023-05-30,44,158322
nhsRegion,London,E40000003,2023-05-29,37,158278
nhsRegion,London,E40000003,2023-05-28,39,158241
nhsRegion,London,E40000003,2023-05-27,26,158202
nhsRegion,London,E40000003,2023-05-26,45,158176
nhsRegion,London,E40000003,2023-05-25,49,158131
nhsRegion,London,E40000003,2023-05-24,30,158082
nhsRegion,London,E40000003,2023-05-23,62,158052
nhsRegion,London,E40000003,2023-05-22,40,157990
nhsRegion,London,E40000003,2023-05-21,36,157950
nhsRegion,London,E40000003,2023-05-20,34,157914
nhsRegion,London,E40000003,2023-05-19,42,157880
nhsRegion,London,E40000003,2023-05-18,44,157838
nhsRegion,London,E40000003,2023-05-17,50,157794
nhsRegion,London,E40000003,2023-05-16,58,157744
nhsRegion,London,E40000003,2023-05-15,49,157686
nhsRegion,London,E40000003,2023-05-14,42,157637
nhsRegion,London,E40000003,2023-05-13,32,157595
nhsRegion,London,E40000003,2023-05-12,55,157563
nhsRegion,London,E40000003,2023-05-11,42,157508
nhsRegion,London,E40000003,2023-05-10,60,157466
nhsRegion,London,E40000003,2023-05-09,48,157406
nhsRegion,London,E40000003,2023-05-08,39,157358
nhsRegion,London,E40000003,2023-05-07,38,157319
nhsRegion,London,E40000003,2023-05-06,50,157281
nhsRegion,London,E40000003,2023-05-05,51,157231
nhsRegion,London,E40000003,2023-05-04,58,157180
nhsRegion,London,E40000003,2023-05-03,60,157122
nhsRegion,London,E40000003,2023-05-02,46,157062
nhsRegion,London,E40000003,2023-05-01,58,157016
nhsRegion,London,E40000003,2023-04-30,49,156958
nhsRegion,London,E40000003,2023-04-29,52,156909
nhsRegion,London,E40000003,2023-04-28,44,156857
nhsRegion,London,E40000003,2023-04-27,59,156813
nhsRegion,London,E40000003,2023-04-26,60,156754
nhsRegion,London,E40000003,2023-04-25,59,156694
nhsRegion,London,E40000003,2023-04-24,59,156635
nhsRegion,London,E40000003,2023-04-23,64,156576
nhsRegion,London,E40000003,2023-04-22,48,156512
nhsRegion,London,E40000003,2023-04-21,49,156464
nhsRegion,London,E40000003,2023-04-20,61,156415
nhsRegion,London,E40000003,2023-04-19,70,156354
nhsRegion,London,E40000003,2023-04-18,66,156284
nhsRegion,London,E40000003,2023-04-17,81,156218
nhsRegion,London,E40000003,2023-04-16,58,156137
nhsRegion,London,E40000003,2023-04-15,59,156079
nhsRegion,London,E40000003,2023-04-14,52,156020
nhsRegion,London,E40000003,2023-04-13,68,155968
nhsRegion,London,E40000003,2023-04-12,66,155900
nhsRegion,London,E40000003,2023-04-11,68,155834
nhsRegion,London,E40000003,2023-04-10,57,155766
nhsRegion,London,E40000003,2023-04-09,51,155709
nhsRegion,London,E40000003,2023-04-08,52,155658
nhsRegion,London,E40000003,2023-04-07,52,155606
nhsRegion,London,E40000003,2023-04-06,52,155554
nhsRegion,London,E40000003,2023-04-05,65,155502
nhsRegion,London,E40000003,2023-04-04,71,155437
nhsRegion,London,E40000003,2023-04-03,95,155366
nhsRegion,London,E40000003,2023-04-02,84,155271
nhsRegion,London,E40000003,2023-04-01,65,155187
nhsRegion,London,E40000003,2023-03-31,60,155122
nhsRegion,London,E40000003,2023-03-30,93,155062
nhsRegion,London,E40000003,2023-03-29,90,154969
nhsRegion,London,E40000003,2023-03-28,114,154879
nhsRegion,London,E40000003,2023-03-27,93,154765
nhsRegion,London,E40000003,2023-03-26,89,154672
