areaType,areaName,areaCode,date,covidOccupiedMVBeds
nhsRegion,London,E40000003,2023-05-31,37
nhsRegion,London,E40000003,2023-05-30,35
nhsRegion,London,E40000003,2023-05-29,33
nhsRegion,London,E40000003,2023-05-28,36
nhsRegion,London,E40000003,2023-05-27,34
nhsRegion,London,E40000003,2023-05-26,32
nhsRegion,London,E40000003,2023-05-25,30
nhsRegion,London,E40000003,2023-05-24,28
nhsRegion,London,E40000003,2023-05-23,29
nhsRegion,London,E40000003,2023-05-22,28
nhsRegion,London,E40000003,2023-05-21,32
nhsRegion,London,E40000003,2023-05-20,34
nhsRegion,London,E40000003,2023-05-19,35
nhsRegion,London,E40000003,2023-05-18,36
nhsRegion,London,E40000003,2023-05-17,39
nhsRegion,London,E40000003,2023-05-16,42
nhsRegion,London,E40000003,2023-05-15,36
nhsRegion,London,E40000003,2023-05-14,38
nhsRegion,London,E40000003,2023-05-13,39
nhsRegion,London,E40000003,2023-05-12,39
nhsRegion,London,E40000003,2023-05-11,38
nhsRegion,London,E40000003,2023-05-10,47
nhsRegion,London,E40000003,2023-05-09,46
nhsRegion,London,E40000003,2023-05-08,49
nhsRegion,London,E40000003,2023-05-07,50
nhsRegion,London,E40000003,2023-05-06,51
nhsRegion,London,E40000003,2023-05-05,47
nhsRegion,London,E40000003,2023-05-04,48
nhsRegion,London,E40000003,2023-05-03,54
nhsRegion,London,E40000003,2023-05-02,53
nhsRegion,London,E40000003,2023-05-01,50
nhsRegion,London,E40000003,2023-04-30,54
nhsRegion,London,E40000003,2023-04-29,40
nhsRegion,London,E40000003,2023-04-28,43
nhsRegion,London,E40000003,2023-04-27,47
nhsRegion,London,E40000003,2023-04-26,48
nhsRegion,London,E40000003,2023-04-25,49
nhsRegion,London,E40000003,2023-04-24,54
nhsRegion,London,E40000003,2023-04-23,65
nhsRegion,London,E40000003,2023-04-22,55
nhsRegion,London,E40000003,2023-04-21,58
nhsRegion,London,E40000003,2023-04-20,51
nhsRegion,London,E40000003,2023-04-19,57
nhsRegion,London,E40000003,2023-04-18,55
nhsRegion,London,E40000003,2023-04-17,57
nhsRegion,London,E40000003,2023-04-16,69
nhsRegion,London,E40000003,2023-04-15,58
nhsRegion,London,E40000003,2023-04-14,60
nhsRegion,London,E40000003,2023-04-13,59
nhsRegion,London,E40000003,2023-04-12,56
nhsRegion,London,E40000003,2023-04-11,55
nhsRegion,London,E40000003,2023-04-10,55
nhsRegion,London,E40000003,2023-04-09,49
nhsRegion,London,E40000003,2023-04-08,53
nhsRegion,London,E40000003,2023-04-07,53
nhsRegion,London,E40000003,2023-04-06,42
nhsRegion,London,E40000003,2023-04-05,56
nhsRegion,London,E40000003,2023-04-04,63
nhsRegion,London,E40000003,2023-04-03,67
nhsRegion,London,E40000003,2023-04-02,68
nhsRegion,London,E40000003,2023-04-01,71
nhsRegion,London,E40000003,2023-03-31,76
nhsRegion,London,E40000003,2023-03-30,72
nhsRegion,London,E40000003,2023-03-29,69
nhsRegion,London,E40000003,2023-03-28,72
nhsRegion,London,E40000003,2023-03-27,69
nhsRegion,London,E40000003,2023-03-26,67
nhsRegion,London,E40000003,2023-03-25,69
nhsRegion,London,E40000003,2023-03-24,66
nhsRegion,London,E40000003,2023-03-23,67
nhsRegion,London,E40000003,2023-03-22,70
nhsRegion,London,E40000003,2023-03-21,66
nhsRegion,London,E40000003,2023-03-20,65
nhsRegion,London,E40000003,2023-03-19,68
nhsRegion,London,E40000003,2023-03-18,70
nhsRegion,London,E40000003,2023-03-17,66
nhsRegion,London,E40000003,2023-03-16,67
nhsRegion,London,E40000003,2023-03-15,72
nhsRegion,London,E40000003,2023-03-14,77
nhsRegion,London,E40000003,2023-03-13,69
nhsRegion,London,E40000003,2023-03-12,76
nhsRegion,London,E40000003,2023-03-11,66
nhsRegion,London,E40000003,2023-03-10,72
nhsRegion,London,E40000003,2023-03-09,68
nhsRegion,London,E40000003,2023-03-08,71
nhsRegion,London,E40000003,2023-03-07,70
nhsRegion,London,E40000003,2023-03-06,67
nhsRegion,London,E40000003,2023-03-05,63
nhsRegion,London,E40000003,2023-03-04,54
nhsRegion,London,E40000003,2023-03-03,74
nhsRegion,London,E40000003,2023-03-02,79
nhsRegion,London,E40000003,2023-03-01,76
nhsRegion,London,E40000003,2023-02-28,67
nhsRegion,London,E40000003,2023-02-27,69
nhsRegion,London,E40000003,2023-02-26,71
nhsRegion,London,E40000003,2023-02-25,67
nhsRegion,London,E40000003,2023-02-24,66
nhsRegion,London,E40000003,2023-02-23,65
nhsRegion,London,E40000003,2023-02-22,70
nhsRegion,London,E40000003,2023-02-21,64
nhsRegion,London,E40000003,2023-02-20,66
nhsRegion,London,E40000003,2023-02-19,63
nhsRegion,London,E40000003,2023-02-18,65
nhsRegion,London,E40000003,2023-02-17,56
nhsRegion,London,E40000003,2023-02-16,52
nhsRegion,London,E40000003,2023-02-15,55
nhsRegion,London,E40000003,2023-02-14,59
nhsRegion,London,E40000003,2023-02-13,52
nhsRegion,London,E40000003,2023-02-12,50
nhsRegion,London,E40000003,2023-02-11,54
nhsRegion,London,E40000003,2023-02-10,53
nhsRegion,London,E40000003,2023-02-09,50
nhsRegion,London,E40000003,2023-02-08,48
nhsRegion,London,E40000003,2023-02-07,49
nhsRegion,London,E40000003,2023-02-06,50
nhsRegion,London,E40000003,2023-02-05,57
nhsRegion,London,E40000003,2023-02-04,54
nhsRegion,London,E40000003,2023-02-03,60
nhsRegion,London,E40000003,2023-02-02,64
nhsRegion,London,E40000003,2023-02-01,57
nhsRegion,London,E40000003,2023-01-31,62
nhsRegion,London,E40000003,2023-01-30,65
nhsRegion,London,E40000003,2023-01-29,68
nhsRegion,London,E40000003,2023-01-28,64
nhsRegion,London,E40000003,2023-01-27,58
nhsRegion,London,E40000003,2023-01-26,60
nhsRegion,London,E40000003,2023-01-25,58
nhsRegion,London,E40000003,2023-01-24,59
nhsRegion,London,E40000003,2023-01-23,60
nhsRegion,London,E40000003,2023-01-22,59
nhsRegion,London,E40000003,2023-01-21,61
nhsRegion,London,E40000003,2023-01-20,61
nhsRegion,London,E40000003,2023-01-19,61
nhsRegion,London,E40000003,2023-01-18,63
nhsRegion,London,E40000003,2023-01-17,66
nhsRegion,London,E40000003,2023-01-16,69
nhsRegion,London,E40000003,2023-01-15,65
nhsRegion,London,E40000003,2023-01-14,68
nhsRegion,London,E40000003,2023-01-13,74
