areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,London,E12000007,2023-12-04,8.3,5976
region,London,E12000007,2023-12-03,8.3,6034
region,London,E12000007,2023-12-02,8.0,6099
region,London,E12000007,2023-12-01,7.8,6071
region,London,E12000007,2023-11-30,7.7,6083
region,London,E12000007,2023-11-29,7.3,6041
region,London,E12000007,2023-11-28,7.4,6031
region,London,E12000007,2023-11-27,7.2,5973
region,London,E12000007,2023-11-26,7.3,5912
region,London,E12000007,2023-11-25,7.5,5898
region,London,E12000007,2023-11-24,7.6,5887
region,London,E12000007,2023-11-23,7.6,5797
region,London,E12000007,2023-11-22,7.8,5843
region,London,E12000007,2023-11-21,7.4,5816
region,London,E12000007,2023-11-20,7.2,5758
region,London,E12000007,2023-11-19,7.1,5766
region,London,E12000007,2023-11-18,7.0,5707
region,London,E12000007,2023-11-17,6.8,5630
region,London,E12000007,2023-11-16,6.5,5615
region,London,E12000007,2023-11-15,6.1,5520
region,London,E12000007,2023-11-14,6.6,5509
region,London,E12000007,2023-11-13,6.7,5471
region,London,E12000007,2023-11-12,6.6,5446
region,London,E12000007,2023-11-11,6.4,5417
region,London,E12000007,2023-11-10,6.6,5386
region,London,E12000007,2023-11-09,6.9,5366
region,London,E12000007,2023-11-08,7.1,5451
region,London,E12000007,2023-11-07,6.7,5417
region,London,E12000007,2023-11-06,6.7,5468
region,London,E12000007,2023-11-05,6.9,5496
region,London,E12000007,2023-11-04,7.0,5509
region,London,E12000007,2023-11-03,6.9,5536
region,London,E12000007,2023-11-02,6.9,5586
region,London,E12000007,2023-11-01,7.3,5461
region,London,E12000007,2023-10-31,7.7,5411
region,London,E12000007,2023-10-30,8.1,5413
region,London,E12000007,2023-10-29,8.0,5306
region,London,E12000007,2023-10-28,8.0,5264
region,London,E12000007,2023-10-27,8.1,5287
region,London,E12000007,2023-10-26,8.2,5236
region,London,E12000007,2023-10-25,8.0,5259
