areaType,areaName,areaCode,date,newVirusTestsBySpecimenDate,cumVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate,cumPCRTestsBySpecimenDate,newLFDTestsBySpecimenDate,cumLFDTestsBySpecimenDate
region,London,E12000007,2023-12-12,101,78191483,101,40290788,0,37900695
region,London,E12000007,2023-12-11,858,78191382,858,40290687,0,37900695
region,London,E12000007,2023-12-10,984,78190524,984,40289829,0,37900695
region,London,E12000007,2023-12-09,1239,78189540,1239,40288845,0,37900695
region,London,E12000007,2023-12-08,1736,78188301,1736,40287606,0,37900695
region,London,E12000007,2023-12-07,1810,78186565,1810,40285870,0,37900695
region,London,E12000007,2023-12-06,1910,78184755,1910,40284060,0,37900695
region,London,E12000007,2023-12-05,2299,78182845,2299,40282150,0,37900695
region,London,E12000007,2023-12-04,2139,78180546,2139,40279851,0,37900695
region,London,E12000007,2023-12-03,1394,78178407,1394,40277712,0,37900695
region,London,E12000007,2023-12-02,1301,78177013,1301,40276318,0,37900695
region,London,E12000007,2023-12-01,1721,78175712,1721,40275017,0,37900695
region,London,E12000007,2023-11-30,2033,78173991,2033,40273296,0,37900695
region,London,E12000007,2023-11-29,2068,78171958,2068,40271263,0,37900695
region,London,E12000007,2023-11-28,2075,78169890,2075,40269195,0,37900695
region,London,E12000007,2023-11-27,2332,78167815,2332,40267120,0,37900695
region,London,E12000007,2023-11-26,1630,78165483,1630,40264788,0,37900695
region,London,E12000007,2023-11-25,1315,78163853,1315,40263158,0,37900695
region,London,E12000007,2023-11-24,1846,78162538,1846,40261843,0,37900695
region,London,E12000007,2023-11-23,1696,78160692,1696,40259997,0,37900695
region,London,E12000007,2023-11-22,1769,78158996,1769,40258301,0,37900695
region,London,E12000007,2023-11-21,1895,78157227,1895,40256532,0,37900695
region,London,E12000007,2023-11-20,1908,78155332,1908,40254637,0,37900695
region,London,E12000007,2023-11-19,1225,78153424,1225,40252729,0,37900695
region,London,E12000007,2023-11-18,1129,78152199,1129,40251504,0,37900695
region,London,E12000007,2023-11-17,1534,78151070,1534,40250375,0,37900695
region,London,E12000007,2023-11-16,1703,78149536,1703,40248841,0,37900695
region,London,E12000007,2023-11-15,1444,78147833,1444,40247138,0,37900695
region,London,E12000007,2023-11-14,1257,78146389,1257,40245694,0,37900695
region,London,E12000007,2023-11-13,1206,78145132,1206,40244437,0,37900695
region,London,E12000007,2023-11-12,628,78143926,628,40243231,0,37900695
region,London,E12000007,2023-11-11,899,78143298,899,40242603,0,37900695
region,London,E12000007,2023-11-10,1343,78142399,1343,40241704,0,37900695
region,London,E12000007,2023-11-09,1361,78141056,1361,40240361,0,37900695
region,London,E12000007,2023-11-08,1706,78139695,1706,40239000,0,37900695
region,London,E12000007,2023-11-07,1654,78137989,1654,40237294,0,37900695
region,London,E12000007,2023-11-06,1660,78136335,1660,40235640,0,37900695
region,London,E12000007,2023-11-05,1196,78134675,1196,40233980,0,37900695
region,London,E12000007,2023-11-04,1136,78133479,1136,40232784,0,37900695
region,London,E12000007,2023-11-03,1447,78132343,1447,40231648,0,37900695
region,London,E12000007,2023-11-02,1685,78130896,1685,40230201,0,37900695
region,London,E12000007,2023-11-01,1772,78129211,1772,40228516,0,37900695
region,London,E12000007,2023-10-31,1732,78127439,1732,40226744,0,37900695
region,London,E12000007,2023-10-30,1832,78125707,1832,40225012,0,37900695
region,London,E12000007,2023-10-29,1120,78123875,1120,40223180,0,37900695
region,London,E12000007,2023-10-28,1068,78122755,1068,40222060,0,37900695
region,London,E12000007,2023-10-27,1672,78121687,1672,40220992,0,37900695
region,London,E12000007,2023-10-26,1485,78120015,1485,40219320,0,37900695
region,London,E12000007,2023-10-25,1487,78118530,1487,40217835,0,37900695
region,London,E12000007,2023-10-24,1754,78117043,1754,40216348,0,37900695
region,London,E12000007,2023-10-23,1564,78115289,1564,40214594,0,37900695
region,London,E12000007,2023-10-22,785,78113725,785,40213030,0,37900695
region,London,E12000007,2023-10-21,906,78112940,906,40212245,0,37900695
region,London,E12000007,2023-10-20,1212,78112034,1212,40211339,0,37900695
region,London,E12000007,2023-10-19,1300,78110822,1300,40210127,0,37900695
region,London,E12000007,2023-10-18,1488,78109522,1488,40208827,0,37900695
region,London,E12000007,2023-10-17,1520,78108034,1520,40207339,0,37900695
region,London,E12000007,2023-10-16,1473,78106514,1473,40205819,0,37900695
region,London,E12000007,2023-10-15,1372,78105041,1372,40204346,0,37900695
region,London,E12000007,2023-10-14,1180,78103669,1180,40202974,0,37900695
region,London,E12000007,2023-10-13,1497,78102489,1497,40201794,0,37900695
region,London,E12000007,2023-10-12,1643,78100992,1643,40200297,0,37900695
region,London,E12000007,2023-10-11,1711,78099349,1711,40198654,0,37900695
region,London,E12000007,2023-10-10,1556,78097638,1556,40196943,0,37900695
region,London,E12000007,2023-10-09,1619,78096082,1619,40195387,0,37900695
region,London,E12000007,2023-10-08,1222,78094463,1222,40193768,0,37900695
region,London,E12000007,2023-10-07,1081,78093241,1081,40192546,0,37900695
region,London,E12000007,2023-10-06,1398,78092160,1398,40191465,0,37900695
region,London,E12000007,2023-10-05,1350,78090762,1350,40190067,0,37900695
region,London,E12000007,2023-10-04,1310,78089412,1310,40188717,0,37900695
region,London,E12000007,2023-10-03,1305,78088102,1305,40187407,0,37900695
region,London,E12000007,2023-10-02,1470,78086797,1470,40186102,0,37900695
region,London,E12000007,2023-10-01,1069,78085327,1069,40184632,0,37900695
region,London,E12000007,2023-09-30,1294,78084258,1294,40183563,0,37900695
region,London,E12000007,2023-09-29,1411,78082964,1411,40182269,0,37900695
region,London,E12000007,2023-09-28,1849,78081553,1849,40180858,0,37900695
region,London,E12000007,2023-09-27,1719,78079704,1719,40179009,0,37900695
region,London,E12000007,2023-09-26,1741,78077985,1741,40177290,0,37900695
region,London,E12000007,2023-09-25,1780,78076244,1780,40175549,0,37900695
region,London,E12000007,2023-09-24,1236,78074464,1236,40173769,0,37900695
region,London,E12000007,2023-09-23,1025,78073228,1025,40172533,0,37900695
region,London,E12000007,2023-09-22,1308,78072203,1308,40171508,0,37900695
region,London,E12000007,2023-09-21,1492,78070895,1492,40170200,0,37900695
region,London,E12000007,2023-09-20,1364,78069403,1364,40168708,0,37900695
region,London,E12000007,2023-09-19,1513,78068039,1513,40167344,0,37900695
region,London,E12000007,2023-09-18,1549,78066526,1549,40165831,0,37900695
region,London,E12000007,2023-09-17,1052,78064977,1052,40164282,0,37900695
region,London,E12000007,2023-09-16,980,78063925,980,40163230,0,37900695
region,London,E12000007,2023-09-15,1376,78062945,1376,40162250,0,37900695
region,London,E12000007,2023-09-14,1458,78061569,1458,40160874,0,37900695
region,London,E12000007,2023-09-13,1278,78060111,1278,40159416,0,37900695
region,London,E12000007,2023-09-12,1546,78058833,1546,40158138,0,37900695
region,London,E12000007,2023-09-11,1454,78057287,1454,40156592,0,37900695
region,London,E12000007,2023-09-10,932,78055833,932,40155138,0,37900695
region,London,E12000007,2023-09-09,961,78054901,961,40154206,0,37900695
region,London,E12000007,2023-09-08,1199,78053940,1199,40153245,0,37900695
region,London,E12000007,2023-09-07,1521,78052741,1302,40152046,219,37900695
region,London,E12000007,2023-09-06,1376,78051220,944,40150744,432,37900476
region,London,E12000007,2023-09-05,1265,78049844,865,40149800,400,37900044
region,London,E12000007,2023-09-04,2242,78048579,1784,40148935,458,37899644
region,London,E12000007,2023-09-03,1469,78046337,1111,40147151,358,37899186
region,London,E12000007,2023-09-02,1635,78044868,1332,40146040,303,37898828
region,London,E12000007,2023-09-01,1967,78043233,1645,40144708,322,37898525
region,London,E12000007,2023-08-31,1671,78041266,1270,40143063,401,37898203
region,London,E12000007,2023-08-30,1566,78039595,1170,40141793,396,37897802
region,London,E12000007,2023-08-29,1625,78038029,1264,40140623,361,37897406
region,London,E12000007,2023-08-28,1334,78036404,1054,40139359,280,37897045
region,London,E12000007,2023-08-27,1132,78035070,896,40138305,236,37896765
region,London,E12000007,2023-08-26,1078,78033938,851,40137409,227,37896529
region,London,E12000007,2023-08-25,1381,78032860,1114,40136558,267,37896302
region,London,E12000007,2023-08-24,1511,78031479,1203,40135444,308,37896035
region,London,E12000007,2023-08-23,1459,78029968,1149,40134241,310,37895727
region,London,E12000007,2023-08-22,1590,78028509,1274,40133092,316,37895417
region,London,E12000007,2023-08-21,1662,78026919,1297,40131818,365,37895101
region,London,E12000007,2023-08-20,1279,78025257,997,40130521,282,37894736
region,London,E12000007,2023-08-19,1077,78023978,861,40129524,216,37894454
region,London,E12000007,2023-08-18,1573,78022901,1312,40128663,261,37894238
region,London,E12000007,2023-08-17,1615,78021328,1284,40127351,331,37893977
region,London,E12000007,2023-08-16,1610,78019713,1274,40126067,336,37893646
region,London,E12000007,2023-08-15,1590,78018103,1249,40124793,341,37893310
region,London,E12000007,2023-08-14,1618,78016513,1211,40123544,407,37892969
region,London,E12000007,2023-08-13,1156,78014895,885,40122333,271,37892562
region,London,E12000007,2023-08-12,970,78013739,768,40121448,202,37892291
region,London,E12000007,2023-08-11,1366,78012769,1097,40120680,269,37892089
region,London,E12000007,2023-08-10,1612,78011403,1292,40119583,320,37891820
region,London,E12000007,2023-08-09,1439,78009791,1155,40118291,284,37891500
region,London,E12000007,2023-08-08,1539,78008352,1261,40117136,278,37891216
region,London,E12000007,2023-08-07,1769,78006813,1411,40115875,358,37890938
region,London,E12000007,2023-08-06,1045,78005044,747,40114464,298,37890580
region,London,E12000007,2023-08-05,935,78003999,725,40113717,210,37890282
region,London,E12000007,2023-08-04,1384,78003064,1156,40112992,228,37890072
region,London,E12000007,2023-08-03,1403,78001680,1126,40111836,277,37889844
region,London,E12000007,2023-08-02,1535,78000277,1253,40110710,282,37889567
region,London,E12000007,2023-08-01,1427,77998742,1179,40109457,248,37889285
region,London,E12000007,2023-07-31,988,77997315,654,40108278,334,37889037
region,London,E12000007,2023-07-30,627,77996327,387,40107624,240,37888703
region,London,E12000007,2023-07-29,794,77995700,586,40107237,208,37888463
region,London,E12000007,2023-07-28,1071,77994906,854,40106651,217,37888255
region,London,E12000007,2023-07-27,1115,77993835,893,40105797,222,37888038
region,London,E12000007,2023-07-26,996,77992720,738,40104904,258,37887816
region,London,E12000007,2023-07-25,839,77991724,584,40104166,255,37887558
region,London,E12000007,2023-07-24,1301,77990885,994,40103582,307,37887303
region,London,E12000007,2023-07-23,822,77989584,590,40102588,232,37886996
region,London,E12000007,2023-07-22,926,77988762,745,40101998,181,37886764
region,London,E12000007,2023-07-21,1428,77987836,1232,40101253,196,37886583
region,London,E12000007,2023-07-20,1487,77986408,1276,40100021,211,37886387
region,London,E12000007,2023-07-19,1491,77984921,1264,40098745,227,37886176
region,London,E12000007,2023-07-18,1810,77983430,1558,40097481,252,37885949
region,London,E12000007,2023-07-17,1474,77981620,1185,40095923,289,37885697
region,London,E12000007,2023-07-16,1070,77980146,842,40094738,228,37885408
