date,schools_closed,pubs_closed,shops_closed,eating_places_closed,stay_at_home,household_mixing_indoors_banned,wfh,rule_of_6_indoors,curfew,eat_out_to_help_out
2020/3/2,0,0,0,0,0,0,0,0,0,0
2020/3/9,0,0,0,0,0,0,0,0,0,0
2020/3/16,0,1,0,1,0,0,1,0,0,0
2020/3/23,1,1,1,1,1,1,1,0,0,0
2020/3/30,1,1,1,1,1,1,1,0,0,0
2020/4/6,1,1,1,1,1,1,1,0,0,0
2020/4/13,1,1,1,1,1,1,1,0,0,0
2020/4/20,1,1,1,1,1,1,1,0,0,0
2020/4/27,1,1,1,1,1,1,1,0,0,0
2020/5/4,1,1,1,1,1,1,1,0,0,0
2020/5/11,1,1,1,1,0,1,1,0,0,0
2020/5/18,1,1,1,1,0,1,1,0,0,0
2020/5/25,1,1,1,1,0,1,1,0,0,0
2020/6/1,0,1,1,1,0,1,1,0,0,0
2020/6/8,0,1,1,1,0,1,1,0,0,0
2020/6/15,0,1,0,1,0,1,1,0,0,0
2020/6/22,0,1,0,1,0,1,1,0,0,0
2020/6/29,0,1,0,1,0,1,1,0,0,0
2020/7/6,0,0,0,0,0,0,1,0,0,0
2020/7/13,0,0,0,0,0,0,1,0,0,0
2020/7/20,0,0,0,0,0,0,1,0,0,0
2020/7/27,0,0,0,0,0,0,1,0,0,0
2020/8/3,0,0,0,0,0,0,0,0,0,1
2020/8/10,0,0,0,0,0,0,0,0,0,1
2020/8/17,0,0,0,0,0,0,0,0,0,1
2020/8/24,0,0,0,0,0,0,0,0,0,1
2020/8/31,0,0,0,0,0,0,0,0,0,0
2020/9/7,0,0,0,0,0,0,0,0,0,0
2020/9/14,0,0,0,0,0,0,0,1,0,0
2020/9/21,0,0,0,0,0,0,1,1,1,0
2020/9/28,0,0,0,0,0,0,1,1,1,0
2020/10/5,0,0,0,0,0,0,1,1,1,0
2020/10/12,0,0,0,0,0,1,1,1,1,0
2020/10/19,0,0,0,0,0,1,1,0,1,0
2020/10/26,0,0,0,0,0,1,1,0,1,0
2020/11/2,0,1,1,1,1,1,1,0,1,0
2020/11/9,0,1,1,1,1,1,1,0,0,0
2020/11/16,0,1,1,1,1,1,1,0,0,0
2020/11/23,0,1,1,1,1,1,1,0,0,0
2020/11/30,0,1,1,1,1,1,1,0,1,0
2020/12/7,0,0,0,0,0,1,1,0,1,0
2020/12/14,0,1,1,1,1,1,1,0,1,0
2020/12/21,0,1,1,1,1,1,1,0,0,0
2020/12/28,0,1,1,1,1,1,1,0,0,0
2021/1/4,1,1,1,1,1,1,1,0,0,0
2021/1/11,1,1,1,1,1,1,1,0,0,0
2021/1/18,1,1,1,1,1,1,1,0,0,0
2021/1/25,1,1,1,1,1,1,1,0,0,0
2021/2/1,1,1,1,1,1,1,1,0,0,0
2021/2/8,1,1,1,1,1,1,1,0,0,0
2021/2/15,1,1,1,1,1,1,1,0,0,0
2021/2/22,1,1,1,1,1,1,1,0,0,0
2021/3/1,1,1,1,1,1,1,1,0,0,0
2021/3/8,0,1,1,1,1,1,1,0,0,0
2021/3/15,0,1,1,1,1,1,1,0,0,0
2021/3/22,0,1,1,1,1,1,1,0,0,0
2021/3/29,0,1,1,1,0,1,1,0,0,0
2021/4/5,0,1,1,1,0,1,1,0,0,0
2021/4/12,0,0,0,0,0,1,1,0,0,0
2021/4/19,0,0,0,0,0,1,1,0,0,0
2021/4/26,0,0,0,0,0,1,1,0,0,0
2021/5/3,0,0,0,0,0,1,1,0,0,0
2021/5/10,0,0,0,0,0,1,1,0,0,0
2021/5/17,0,0,0,0,0,0,1,1,0,0
2021/5/24,0,0,0,0,0,0,1,1,0,0
2021/5/31,0,0,0,0,0,0,1,1,0,0
2021/6/7,0,0,0,0,0,0,1,1,0,0
2021/6/14,0,0,0,0,0,0,1,1,0,0
2021/6/21,0,0,0,0,0,0,1,1,0,0
2021/6/28,0,0,0,0,0,0,1,1,0,0
2021/7/5,0,0,0,0,0,0,1,1,0,0
2021/7/12,0,0,0,0,0,0,1,1,0,0
2021/7/19,0,0,0,0,0,0,0,0,0,0
2021/7/26,0,0,0,0,0,0,0,0,0,0
2021/8/2,0,0,0,0,0,0,0,0,0,0
2021/8/9,0,0,0,0,0,0,0,0,0,0
2021/8/16,0,0,0,0,0,0,0,0,0,0
2021/8/23,0,0,0,0,0,0,0,0,0,0
2021/8/30,0,0,0,0,0,0,0,0,0,0
2021/9/6,0,0,0,0,0,0,0,0,0,0
2021/9/13,0,0,0,0,0,0,0,0,0,0
2021/9/20,0,0,0,0,0,0,0,0,0,0
2021/9/27,0,0,0,0,0,0,0,0,0,0
